,Sample_ID,Year,Country,Continent,Azithromycin mic,Ciprofloxacin mic,Ceftriaxone mic,Cefixime mic,Azithromycin log mic,Ciprofloxacin log mic,Ceftriaxone log mic,Cefixime log mic,Azithromycin sr,Ciprofloxacin sr,Ceftriaxone sr,Cefixime sr
3205,3862,2012.0,Norway,Europe,16.0,0.004,0.003,0.008,4.0,-7.965784285,-8.380821784,-6.965784285,1.0,0.0,0.0,0.0
3206,3863,2012.0,Norway,Europe,16.0,0.006,0.003,0.008,4.0,-7.380821784,-8.380821784,-6.965784285,1.0,0.0,0.0,0.0
3210,11004,2011.0,Slovenia,Europe,16.0,1.0,0.047,0.19,4.0,0.0,-4.411195433,-2.395928676,1.0,0.0,0.0,0.0
3213,11078,2011.0,The Netherlands,Europe,16.0,0.001,0.002,0.008,4.0,-9.965784285,-8.965784285,-6.965784285,1.0,0.0,0.0,0.0
3214,11143,2011.0,The Netherlands,Europe,16.0,0.001,0.002,0.008,4.0,-9.965784285,-8.965784285,-6.965784285,1.0,0.0,0.0,0.0
3215,121470,2012.0,UK,Europe,16.0,32.0,0.047,0.023,4.0,5.0,-4.411195433,-5.442222329,1.0,1.0,0.0,0.0
3229,10_065,2010.0,Belgium,Europe,16.0,0.008,0.008,0.008,4.0,-6.965784285,-6.965784285,-6.965784285,1.0,0.0,0.0,0.0
3234,11_003,2011.0,Belgium,Europe,16.0,32.0,0.002,0.004,4.0,5.0,-8.965784285,-7.965784285,1.0,1.0,0.0,0.0
3235,11_005,2011.0,Belgium,Europe,32.0,64.0,0.008,0.008,5.0,6.0,-6.965784285,-6.965784285,1.0,1.0,0.0,0.0
3236,11_011,2011.0,Belgium,Europe,16.0,32.0,0.004,0.004,4.0,5.0,-7.965784285,-7.965784285,1.0,1.0,0.0,0.0
3237,11_020,2011.0,Belgium,Europe,16.0,32.0,0.004,0.004,4.0,5.0,-7.965784285,-7.965784285,1.0,1.0,0.0,0.0
3238,11_110,2011.0,Denmark,Europe,4.0,0.003,0.012,0.047,2.0,-8.380821784,-6.380821784,-4.411195433,1.0,0.0,0.0,0.0
3239,11_135,2011.0,Denmark,Europe,16.0,64.0,0.047,0.25,4.0,6.0,-4.411195433,-2.0,1.0,1.0,0.0,0.0
3240,11_24,2011.0,Denmark,Europe,16.0,64.0,0.023,0.125,4.0,6.0,-5.442222329,-3.0,1.0,1.0,0.0,0.0
3241,11_27,2011.0,Denmark,Europe,8.0,0.008,0.004,0.016,3.0,-6.965784285,-7.965784285,-5.965784285,1.0,0.0,0.0,0.0
3243,11_77,2011.0,Portugal,Europe,16.0,32.0,0.023,0.064,4.0,5.0,-5.442222329,-3.965784285,1.0,1.0,0.0,0.0
3251,12_16,2012.0,Denmark,Europe,16.0,64.0,0.032,0.19,4.0,6.0,-4.965784285,-2.395928676,1.0,1.0,0.0,0.0
3252,12_21,2012.0,Denmark,Europe,16.0,64.0,0.012,0.064,4.0,6.0,-6.380821784,-3.965784285,1.0,1.0,0.0,0.0
3253,12_38,2012.0,Denmark,Europe,16.0,64.0,0.047,0.19,4.0,6.0,-4.411195433,-2.395928676,1.0,1.0,0.0,0.0
3254,12_89,2012.0,Denmark,Europe,16.0,64.0,0.032,0.125,4.0,6.0,-4.965784285,-3.0,1.0,1.0,0.0,0.0
3255,13_015,2013.0,Greece,Europe,8.0,0.006,0.003,0.016,3.0,-7.380821784,-8.380821784,-5.965784285,1.0,0.0,0.0,0.0
3259,13_3,2013.0,Denmark,Europe,4.0,32.0,0.047,0.047,2.0,5.0,-4.411195433,-4.411195433,1.0,1.0,0.0,0.0
3260,13_5,2013.0,Denmark,Europe,16.0,32.0,0.012,0.125,4.0,5.0,-6.380821784,-3.0,1.0,1.0,0.0,0.0
3263,10356_1#13,1990.0,Canada,America,0.125,0.004,0.001,0.008,-3.0,-7.965784285,-9.965784285,-6.965784285,0.0,0.0,0.0,0.0
3264,10356_1#14,1991.0,Canada,America,0.25,0.008,0.032,0.016,-2.0,-6.965784285,-4.965784285,-5.965784285,0.0,0.0,0.0,0.0
3265,10356_1#20,1999.0,USA,America,4.0,0.004,0.004,0.008,2.0,-7.965784285,-7.965784285,-6.965784285,1.0,0.0,0.0,0.0
